timestamp,tag,loss,mAP,AP50,AP75,AP_small,AP_medium,AP_large,AR,AR1,AR10,AR100,dataset_path,train_size,val_size,model_spec,eval_batch_size,synth_num_images,synth_image_size,synth_min_objects,synth_max_objects,synth_min_scale,synth_max_scale,synth_rotation_range,synth_bg_complexity,synth_train_ratio,comments
2025-11-13T11:09:22,float32,0.565,0.638,0.838,0.732,-1.0,0.833,0.62,,,,,dataset_synth_100,80,20,SupportedModels.MOBILENET_MULTI_AVG,4,100,640x480,1,3,0.3,0.8,0-360,medium,0.8
2025-11-13T11:52:11,float32,0.544,0.608,0.808,0.684,-1.0,0.833,0.586,,,,,../synthetic/output,80,20,SupportedModels.MOBILENET_MULTI_AVG,4,100,640x480,1,3,0.3,0.8,0-360,high,0.8
2025-11-13T12:12:19,float32,0.656,0.42,0.616,0.435,-1.0,0.597,0.445,,,,,../synthetic/output,80,20,SupportedModels.MOBILENET_MULTI_AVG,4,100,640x480,1,3,0.3,0.8,0-360,high,0.8,train 6m30s
2025-11-13T13:31:47,float32,1.443,0.187,0.305,0.19,-1.0,0.201,0.195,,,,,../synthetic/output,800,82,SupportedModels.MOBILENET_MULTI_AVG,4,1000,640x480,1,3,0.3,0.8,0-360,high,0.8,train 32m40s Real pictures validation
2025-11-13T13:50:50,float32,1.47,0.107,0.16,0.113,-1.0,0.013,0.134,,,,,../synthetic/output,80,82,SupportedModels.MOBILENET_MULTI_AVG,4,100,640x480,1,3,0.3,0.8,0-360,high,0.8,train 8m11s Real pictures validation
2025-11-13T14:16:06,float32,1.399,0.113,0.187,0.134,-1.0,0.211,0.118,,,,,../synthetic/output,80,82,SupportedModels.MOBILENET_MULTI_AVG,4,100,640x480,1,1,0.3,0.8,0-360,high,0.8,trained 7m54s
